2024/05/09 19:53:34 [alert] 775#0: *1724 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/09 22:13:50 [alert] 775#0: *2862 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/14 23:14:17 [alert] 775#0: *8988 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/15 09:14:16 [alert] 775#0: *9752 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/15 21:29:41 [alert] 775#0: *10513 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/15 21:29:41 [alert] 775#0: *10515 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/15 21:29:41 [alert] 775#0: *10516 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/16 09:08:21 [alert] 775#0: *13582 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/16 09:08:21 [alert] 775#0: *13585 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/16 09:08:21 [alert] 775#0: *13587 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/20 11:35:41 [alert] 775#0: *19782 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/22 22:58:31 [alert] 4235#0: *5405 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/22 22:58:31 [alert] 4235#0: *5410 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/22 23:47:33 [alert] 4235#0: *6136 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/27 22:18:20 [alert] 4235#0: *10492 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/27 22:25:13 [alert] 4235#0: *10536 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/27 22:25:13 [alert] 4235#0: *10539 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/27 22:25:13 [alert] 4235#0: *10540 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/27 22:27:56 [alert] 4235#0: *10569 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/28 08:22:32 [alert] 4235#0: *11711 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/28 08:30:46 [alert] 4235#0: *11789 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/28 08:30:46 [alert] 4235#0: *11790 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/28 21:26:52 [alert] 4235#0: *12183 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/28 21:26:52 [alert] 4235#0: *12187 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/30 09:02:43 [alert] 4235#0: *12867 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/30 10:07:52 [alert] 4235#0: *13686 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
2024/05/30 10:10:18 [alert] 4235#0: *13694 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: 127.0.0.1, server: 127.0.0.1:10029
